SVR,RF
0.696067850632639,0.6684904853107323
0.2671948279165508,0.2536688969761349
0.1428415720002526,0.1164548626762959
0.19405379703191805,0.1633041231114113
0.15291305719402237,0.15132670211779142
0.15563844588304754,0.13978342040240999
0.17258988964349364,0.14526600316519445
0.21509585978271628,0.1542195348510026
0.1538078813833813,0.12311163718378593
0.06654731824028781,0.06354268909448024
0.07309566363127096,0.057092633922912306
0.17871949379629193,0.14491489319233308
0.1790037611732479,0.1610909607515164
0.14514940428798173,0.12781232140475318
0.2089650925170694,0.15091725841426296
0.09801345334361111,0.03309610559340448
0.14400238063207893,0.08894025426313446
0.19458905339005883,0.16500431449326924
0.10758262443606159,0.09617706340654719
0.648660601129859,0.6250814249451015
0.316942971286586,0.30288361303360534
0.4636446211315025,0.4330443414486639
0.4230261786282138,0.4118544545419547
0.4677177408848465,0.46357836251990137
0.16969865699322062,0.11781560704410976
